NOMESEGMENTOCATEGORIA,NOMEIF,NOMEREGIAO,TIPOBENEFICIARIO1,ATIVIDADE,AreaCusteio,QTDCUSTEIO,VLCUSTEIO,AreaInvestimento,QTDINVESTIMENTO,VLINVESTIMENTO,QTDCOMERCIALIZACAO,VLCOMERCIALIZACAO,QTDINDUSTRIALIZACAO,VLINDUSTRIALIZACAO,AREATOTAL,QTDTOTAL,VALORTOTAL,Textbox33,Textbox86,Textbox87,Textbox65,Textbox88,Textbox89,Textbox90,Textbox91,Textbox25,Textbox34,Textbox73,Textbox3,Textbox12,Textbox46,Textbox96,Textbox97,Textbox66,Textbox98,Textbox99,Textbox100,Textbox101,Textbox27,Textbox35,Textbox74,Textbox4,Textbox13,Textbox47,Textbox59,Textbox60,Textbox67,Textbox61,Textbox62,Textbox63,Textbox64,Textbox28,Textbox36,Textbox75,Textbox5,Textbox14,Textbox55,Textbox49,Textbox50,Textbox68,Textbox51,Textbox52,Textbox53,Textbox54,Textbox29,Textbox37,Textbox82,Textbox6,Textbox15,Textbox56,Textbox116,Textbox117,Textbox69,Textbox118,Textbox119,Textbox120,Textbox121,Textbox30,Textbox38,Textbox83,Textbox7,Textbox16
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,GO,Agrícola,"2.162.328,29",11.698,"9.008.244.709,53","199.668,01",2.589,"1.881.658.943,98",1.787,"3.213.081.314,88",4,"85100000,00","2.361.996,30",16.078,"14.188.084.968,39","3.589.879,36",34.349,"14.628.507.907,49","594.981,57",12.220,"4.194.347.998,33",1.975,"3.238.489.248,42",9,"147450000,00","4.184.860,93",48.553,"22.208.795.154,24","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,GO,Pecuária,"1.427.551,07",22.651,"5.620.263.197,96","395.313,56",9.631,"2.312.689.054,35",188,"25.407.933,54",5,"62350000,00","1.822.864,63",32.475,"8.020.710.185,85","3.589.879,36",34.349,"14.628.507.907,49","594.981,57",12.220,"4.194.347.998,33",1.975,"3.238.489.248,42",9,"147450000,00","4.184.860,93",48.553,"22.208.795.154,24","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,MT,Agrícola,"1.784.026,04",4.391,"7.150.917.886,14","350.845,02",2.064,"2.124.120.791,40",1.064,"2.999.499.508,43",2,"20000000,00","2.134.871,06",7.521,"12.294.538.185,97","2.558.490,11",15.379,"10.492.429.718,37","653.420,82",8.251,"3.846.062.564,94",1.072,"3.022.713.540,43",6,"34300000,00","3.211.910,93",24.708,"17.395.505.823,74","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,MT,Pecuária,"774.464,07",10.988,"3.341.511.832,23","302.575,80",6.187,"1.721.941.773,54",8,"23.214.032,00",4,"14300000,00","1.077.039,87",17.187,"5.100.967.637,77","2.558.490,11",15.379,"10.492.429.718,37","653.420,82",8.251,"3.846.062.564,94",1.072,"3.022.713.540,43",6,"34300000,00","3.211.910,93",24.708,"17.395.505.823,74","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,MS,Agrícola,"1.591.783,78",10.048,"5.920.599.952,21","195.375,27",1.717,"1.186.584.363,58",912,"1.550.264.654,58",12,"101900000,00","1.787.159,05",12.689,"8.759.348.970,37","3.621.890,44",17.913,"8.436.868.716,96","513.329,13",4.620,"2.044.046.109,69",912,"1.550.264.654,58",15,"113460000,00","4.135.219,57",23.460,"12.144.639.481,23","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,MS,Pecuária,"2.030.106,66",7.865,"2.516.268.764,75","317.953,86",2.903,"857.461.746,11",0,"0,00",3,"11560000,00","2.348.060,52",10.771,"3.385.290.510,86","3.621.890,44",17.913,"8.436.868.716,96","513.329,13",4.620,"2.044.046.109,69",912,"1.550.264.654,58",15,"113460000,00","4.135.219,57",23.460,"12.144.639.481,23","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,DF,Agrícola,"7.039,34",36,"28.526.142,77","275,52",14,"7.063.108,56",21,"34.733.842,00",1,"15000000,00","7.314,86",72,"85.323.093,33","7.062,07",39,"30.985.749,77","424,09",20,"27.604.678,52",24,"35.030.842,00",1,"15000000,00","7.486,16",84,"108.621.270,29","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,CENTRO-OESTE,DF,Pecuária,"22,73",3,"2.459.607,00","148,57",6,"20.541.569,96",3,"297.000,00",0,"0,00","171,30",12,"23.298.176,96","7.062,07",39,"30.985.749,77","424,09",20,"27.604.678,52",24,"35.030.842,00",1,"15000000,00","7.486,16",84,"108.621.270,29","9.777.321,98",67.680,"33.588.792.092,59","1.762.155,61",25.111,"10.112.061.351,48",3.983,"7.846.498.285,43",31,"310210000,00","11.539.477,59",96.805,"51.857.561.729,50","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,SUDESTE,MG,Agrícola,"944.288,26",26.816,"8.417.402.517,09","182.080,68",13.659,"3.066.384.825,28",3.426,"2.547.537.924,33",28,"409355000,00","1.126.368,94",43.929,"14.440.680.266,70","1.809.522,93",63.037,"15.044.105.110,49","383.276,33",26.497,"5.448.319.062,13",3.485,"2.565.897.125,21",39,"513195000,00","2.192.799,26",93.058,"23.571.516.297,83","2.796.994,29",101.266,"24.391.197.409,85","530.324,95",45.539,"9.022.719.241,45",6.784,"4.568.355.408,72",65,"964274350,00","3.327.319,24",153.654,"38.946.546.410,02","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
BANCO PÚBLICO,BCO DO BRASIL S.A.,SUDESTE,MG,Pecuária,"865.234,67",36.221,"6.626.702.593,40","201.195,65",12.838,"2.381.934.236,85",59,"18.359.200,88",11,"103840000,00","1.066.430,32",49.129,"9.130.836.031,13","1.809.522,93",63.037,"15.044.105.110,49","383.276,33",26.497,"5.448.319.062,13",3.485,"2.565.897.125,21",39,"513195000,00","2.192.799,26",93.058,"23.571.516.297,83","2.796.994,29",101.266,"24.391.197.409,85","530.324,95",45.539,"9.022.719.241,45",6.784,"4.568.355.408,72",65,"964274350,00","3.327.319,24",153.654,"38.946.546.410,02","19.665.208,50",384.214,"93.602.456.901,71","3.717.866,04",176.664,"36.104.501.011,58",20.333,"20.870.778.890,69",334,"4333054254,26","23.383.074,54",581.545,"154.910.791.058,24","25.972.457,73",589.386,"127.246.513.751,24","5.860.149,92",1.153.609,"56.716.276.364,26",21.754,"24.712.654.343,27",783,"8112618620,19","31.832.607,65",1.765.532,"216.788.063.078,96","37.251.691,36",983.319,"208.730.506.421,70","8.016.197,66",1.317.668,"105.187.274.135,90",26.395,"43.472.947.216,55",1677,"22429762669,71","45.267.889,02",2.329.059,"379.820.490.443,86"
